win,lose,probability
Cleveland Cavaliers,New York Knicks,0.9222395399072193
Golden State Warriors,San Antonio Spurs,0.59852805084123473
Portland Trail Blazers,Utah Jazz,0.77974419249030813
Boston Celtics,Brooklyn Nets,0.89937937366126097
Indiana Pacers,Dallas Mavericks,0.64072863673899738
Houston Rockets,Los Angeles Lakers,0.74628216617134435
Memphis Grizzlies,Minnesota Timberwolves,0.6222448820860681
Charlotte Hornets,Milwaukee Bucks,0.71661986320507154
New Orleans Pelicans,Denver Nuggets,0.53383600172261636
Miami Heat,Orlando Magic,0.63469850110873205
Oklahoma City Thunder,Philadelphia 76ers,0.94727466648975256
Sacramento Kings,Phoenix Suns,0.55427764576972027
Toronto Raptors,Detroit Pistons,0.7483923680353517
Atlanta Hawks,Washington Wizards,0.66379419154971597
Boston Celtics,Chicago Bulls,0.53551688932223174
Portland Trail Blazers,Los Angeles Clippers,0.64318811780715279
San Antonio Spurs,Sacramento Kings,0.86253590244730671
Indiana Pacers,Brooklyn Nets,0.80633797001018426
Dallas Mavericks,Houston Rockets,0.58615919926464288
Detroit Pistons,Orlando Magic,0.68490632332596291
Miami Heat,Charlotte Hornets,0.57722401255856337
Golden State Warriors,New Orleans Pelicans,0.91200257059121737
Oklahoma City Thunder,Phoenix Suns,0.93441795667645489
Cleveland Cavaliers,Toronto Raptors,0.54615825064531465
Utah Jazz,Los Angeles Lakers,0.88725174913423976
Chicago Bulls,Indiana Pacers,0.50414441412043043
Charlotte Hornets,Boston Celtics,0.56203009830355188
Cleveland Cavaliers,Orlando Magic,0.89225656755855398
Portland Trail Blazers,Denver Nuggets,0.65196664601916643
Milwaukee Bucks,Brooklyn Nets,0.73438268860015465
New York Knicks,Memphis Grizzlies,0.53676729834909009
Atlanta Hawks,Philadelphia 76ers,0.89614043626040374
Sacramento Kings,Minnesota Timberwolves,0.59180632562884217
San Antonio Spurs,New Orleans Pelicans,0.92643302353095347
Detroit Pistons,Milwaukee Bucks,0.73964254838938392
Houston Rockets,Dallas Mavericks,0.61166821785405079
Los Angeles Clippers,Utah Jazz,0.72295210893736284
Washington Wizards,Memphis Grizzlies,0.52223402347426928
San Antonio Spurs,Miami Heat,0.69667087496068081
Oklahoma City Thunder,Los Angeles Lakers,0.95517554121412163
Golden State Warriors,Phoenix Suns,0.93507269762812539
Atlanta Hawks,Sacramento Kings,0.7749709487075932
Chicago Bulls,Brooklyn Nets,0.72107651984113019
Los Angeles Clippers,Phoenix Suns,0.89897444008536653
Toronto Raptors,Denver Nuggets,0.85347944326568914
Cleveland Cavaliers,Houston Rockets,0.8364520888919037
Detroit Pistons,New York Knicks,0.75686776143681767
Indiana Pacers,Los Angeles Lakers,0.89652821819989081
Miami Heat,Sacramento Kings,0.79326540747389196
Minnesota Timberwolves,Memphis Grizzlies,0.51341794876960645
New Orleans Pelicans,Milwaukee Bucks,0.56517062951621966
Orlando Magic,Philadelphia 76ers,0.76912785658612015
Golden State Warriors,Portland Trail Blazers,0.65449933394158488
San Antonio Spurs,Utah Jazz,0.84937198803068947
Atlanta Hawks,Los Angeles Lakers,0.91047996834120548
Boston Celtics,Chicago Bulls,0.70779864341293874
Detroit Pistons,Brooklyn Nets,0.7690885604410993
Charlotte Hornets,Philadelphia 76ers,0.94308379296129152
Oklahoma City Thunder,Los Angeles Clippers,0.57351081931802028
Memphis Grizzlies,New Orleans Pelicans,0.67359275370792648
Houston Rockets,New York Knicks,0.58161619824859367
Portland Trail Blazers,Phoenix Suns,0.73790616895637895
Utah Jazz,Dallas Mavericks,0.61828340465460963
Toronto Raptors,Washington Wizards,0.63578743119649461
Cleveland Cavaliers,Boston Celtics,0.76868068022289382
Golden State Warriors,Oklahoma City Thunder,0.68435869642313174
Indiana Pacers,Milwaukee Bucks,0.68248991140109139
Minnesota Timberwolves,Denver Nuggets,0.54982218565695862
Orlando Magic,Sacramento Kings,0.61208546230199601
Charlotte Hornets,Brooklyn Nets,0.83046221105934204
Chicago Bulls,New York Knicks,0.75583670959853655
Dallas Mavericks,Portland Trail Blazers,0.53232483986259016
Golden State Warriors,Los Angeles Lakers,0.94929779166491002
Los Angeles Clippers,Memphis Grizzlies,0.68003429898998857
New Orleans Pelicans,Phoenix Suns,0.688141626999482
Toronto Raptors,Miami Heat,0.67461695929842314
San Antonio Spurs,Utah Jazz,0.76784076035338122
Atlanta Hawks,Washington Wizards,0.55522710246932216
Atlanta Hawks,Houston Rockets,0.65431966054814339
Detroit Pistons,Denver Nuggets,0.7145301394557998
Indiana Pacers,Chicago Bulls,0.66420324382609586
Milwaukee Bucks,Sacramento Kings,0.52636995671706799
Oklahoma City Thunder,Minnesota Timberwolves,0.88163058004384165
Washington Wizards,Orlando Magic,0.52504415342622679
Cleveland Cavaliers,Philadelphia 76ers,0.95300739641997123
San Antonio Spurs,Los Angeles Clippers,0.74168334286772475
Boston Celtics,Denver Nuggets,0.78641530932795034
Dallas Mavericks,Milwaukee Bucks,0.74983775738646929
Los Angeles Lakers,Phoenix Suns,0.54984084008299461
Portland Trail Blazers,Memphis Grizzlies,0.58656714131900922
Utah Jazz,New York Knicks,0.56886732894381886
Toronto Raptors,Sacramento Kings,0.85038907639865102
Chicago Bulls,Orlando Magic,0.68369763664167482
Charlotte Hornets,Indiana Pacers,0.60067789757231005
Golden State Warriors,New Orleans Pelicans,0.94441643880919401
Los Angeles Clippers,Detroit Pistons,0.70221910993368897
Oklahoma City Thunder,Miami Heat,0.72466358109542972
Utah Jazz,Philadelphia 76ers,0.83660078752326805
Washington Wizards,Houston Rockets,0.56166281298448539
Minnesota Timberwolves,Brooklyn Nets,0.62804467175853174
Cleveland Cavaliers,Atlanta Hawks,0.76175702824250724
Dallas Mavericks,Los Angeles Lakers,0.72674214590385455
Memphis Grizzlies,Denver Nuggets,0.62054271691482177
Portland Trail Blazers,Phoenix Suns,0.92350174274297636
Sacramento Kings,New Orleans Pelicans,0.64493072342729041
Atlanta Hawks,Chicago Bulls,0.69896218544668698
Charlotte Hornets,Utah Jazz,0.6754133017724443
Golden State Warriors,Dallas Mavericks,0.88872300672208238
Indiana Pacers,Philadelphia 76ers,0.93116896182131603
Los Angeles Clippers,Portland Trail Blazers,0.66559805806183425
New York Knicks,Brooklyn Nets,0.76503747779873343
Oklahoma City Thunder,Toronto Raptors,0.63937981880976535
Orlando Magic,Minnesota Timberwolves,0.61959317842748951
Detroit Pistons,Phoenix Suns,0.70382283299831339
San Antonio Spurs,Houston Rockets,0.84257370159713851
Boston Celtics,Washington Wizards,0.54569054570115405
Golden State Warriors,Denver Nuggets,0.90550424412662567
Miami Heat,Chicago Bulls,0.72121306052766887
Milwaukee Bucks,New Orleans Pelicans,0.58969509787370633
Sacramento Kings,Los Angeles Lakers,0.80574821901970306
Boston Celtics,New York Knicks,0.82076601610993249
Toronto Raptors,Charlotte Hornets,0.53107188947859152
Oklahoma City Thunder,Los Angeles Clippers,0.68025538946160968
Utah Jazz,Orlando Magic,0.52254655652379745
Indiana Pacers,Philadelphia 76ers,0.87627648266700753
Portland Trail Blazers,Sacramento Kings,0.85942356986087431
San Antonio Spurs,Detroit Pistons,0.83595292477812633
Cleveland Cavaliers,Washington Wizards,0.74580990591350171
Atlanta Hawks,Philadelphia 76ers,0.94075852555341644
Chicago Bulls,Washington Wizards,0.58201400772153566
Detroit Pistons,Denver Nuggets,0.6125751745814354
San Antonio Spurs,Houston Rockets,0.77278381689578457
Indiana Pacers,Boston Celtics,0.51165193428966438
Miami Heat,Utah Jazz,0.68962949975865095
Memphis Grizzlies,Milwaukee Bucks,0.50404740855905095
Los Angeles Clippers,Minnesota Timberwolves,0.73997325777824896
New Orleans Pelicans,Los Angeles Lakers,0.76744941695841384
Phoenix Suns,Brooklyn Nets,0.66672871084473739
Toronto Raptors,New York Knicks,0.87870781611045623
Cleveland Cavaliers,Charlotte Hornets,0.76803408710329957
Golden State Warriors,Phoenix Suns,0.96288620801890834
Minnesota Timberwolves,Los Angeles Lakers,0.77874467978895845
Oklahoma City Thunder,Orlando Magic,0.86525625622408198
Portland Trail Blazers,Denver Nuggets,0.86235752546400157
Oklahoma City Thunder,Detroit Pistons,0.71273156907578017
Houston Rockets,Philadelphia 76ers,0.92276970231312194
Indiana Pacers,Orlando Magic,0.72306986078936519
Los Angeles Clippers,Brooklyn Nets,0.91810567311304636
Boston Celtics,New Orleans Pelicans,0.71476692294321587
Dallas Mavericks,New York Knicks,0.55692374365613129
San Antonio Spurs,Miami Heat,0.78031522919474527
Utah Jazz,Memphis Grizzlies,0.70230327810496807
Cleveland Cavaliers,Toronto Raptors,0.69572517868832573
Los Angeles Lakers,Brooklyn Nets,0.60611944641529036
Miami Heat,Atlanta Hawks,0.568683256553567
